Altium Designer Pick and Place Locations
C:\Users\davem\OneDrive\Documents\GitHub\enigma\Rev A\Project Outputs for Enigma Rev A\Assembly\Pick Place\Pick Place for Enigma Rev A(DEFAULT).txt

========================================================================================================================
File Design Information:

Date:       21/09/17
Time:       11:16
Revision:   Not in VersionControl
Variant:    DEFAULT
Units used: mil

Designator Comment                              Layer       Footprint                Center-X(mil) Center-Y(mil) Rotation Description                                                                                             
R246       R_0402_10.0K                         TopLayer    R_0402                   3600.315      900.000       180      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R245       R_0402_10.0K                         TopLayer    R_0402                   3600.315      1090.000      180      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R244       R_0402_10.0K                         TopLayer    R_0402                   3499.685      1178.500      180      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R243       R_0402_10.0K                         TopLayer    R_0402                   3499.685      1318.500      180      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R242       R_0402_10.0K                         TopLayer    R_0402                   3234.685      1180.000      180      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R241       R_0402_10.0K                         TopLayer    R_0402                   3234.685      1320.000      180      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R240       R_0402_10.0K                         TopLayer    R_0402                   2994.055      1205.000      180      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R239       R_0402_10.0K                         TopLayer    R_0402                   2994.055      1345.000      180      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R238       R_0402_10.0K                         TopLayer    R_0402                   2724.685      1230.000      180      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R237       R_0402_10.0K                         TopLayer    R_0402                   2724.685      1370.000      180      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R236       R_0402_10.0K                         TopLayer    R_0402                   3600.315      950.000       360      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R235       R_0402_10.0K                         TopLayer    R_0402                   3600.315      1140.000      360      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R234       R_0402_10.0K                         BottomLayer R_0402                   3499.685      1178.500      360      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R233       R_0402_10.0K                         BottomLayer R_0402                   3499.685      1318.500      360      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R232       R_0402_10.0K                         BottomLayer R_0402                   3234.685      1180.000      360      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R231       R_0402_10.0K                         BottomLayer R_0402                   3234.685      1320.000      360      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R230       R_0402_10.0K                         BottomLayer R_0402                   2994.055      1205.000      360      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R229       R_0402_10.0K                         BottomLayer R_0402                   2994.055      1345.000      360      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R228       R_0402_10.0K                         BottomLayer R_0402                   2724.685      1230.000      360      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
R227       R_0402_10.0K                         BottomLayer R_0402                   2724.685      1370.000      360      "RES 10.0K OHM 1/16W 1% 0402 SMD"                                                                       
C206       0.1uF                                TopLayer    C_ERA-0402               3599.685      1000.000      180      "CAP CER .10UF 16V X7R 0402"                                                                            
C205       0.1uF                                TopLayer    C_ERA-0402               3599.685      1040.000      180      "CAP CER .10UF 16V X7R 0402"                                                                            
C204       0.1uF                                TopLayer    C_ERA-0402               3499.685      1228.500      180      "CAP CER .10UF 16V X7R 0402"                                                                            
C203       0.1uF                                TopLayer    C_ERA-0402               3499.685      1268.500      180      "CAP CER .10UF 16V X7R 0402"                                                                            
C202       0.1uF                                TopLayer    C_ERA-0402               3234.685      1230.000      180      "CAP CER .10UF 16V X7R 0402"                                                                            
C201       0.1uF                                TopLayer    C_ERA-0402               3234.685      1270.000      180      "CAP CER .10UF 16V X7R 0402"                                                                            
C200       0.1uF                                TopLayer    C_ERA-0402               2994.685      1255.000      180      "CAP CER .10UF 16V X7R 0402"                                                                            
